N,prob,se,qin_m3_s
323,0.6470588235294118,0.02659021110078577,5.352329111894447e-06
324,0.6481481481481481,0.02653044641610623,5.431866482719905e-06
325,0.6492307692307693,0.026470894176567873,5.235658889693592e-06
326,0.6503067484662577,0.026411554067069465,5.313638673898634e-06
327,0.6483180428134556,0.026405550232990613,1.413327911200824e-05
328,0.649390243902439,0.026346804952008435,5.679773977281555e-06
329,0.6504559270516718,0.02628826717239306,5.336350822719694e-06
330,0.6484848484848484,0.02628239702241278,2.147385817114328e-05
331,0.649546827794562,0.02622444065952764,5.441715535649033e-06
332,0.6506024096385542,0.02616668730909803,5.211407212275892e-06
333,0.6486486486486487,0.02616094671256546,1.9406339278597604e-05
334,0.6467065868263473,0.026154605814934798,1.804757230526535e-05
335,0.6477611940298508,0.02609778566342265,3.146089041680033e-06
336,0.6488095238095238,0.02604116050690478,5.584372459167925e-06
337,0.6468842729970327,0.026034957687667074,1.869606525772749e-05
338,0.6479289940828402,0.025978883818716842,5.511477464477564e-06
339,0.6489675516224189,0.025923000832543994,5.282046964926598e-06
340,0.6470588235294118,0.02591693191844153,2.089636609314084e-05
341,0.6480938416422287,0.02586158815954389,5.361495453352865e-06
342,0.6491228070175439,0.025806431291172157,5.04822659731411e-06
343,0.6501457725947521,0.025751461051245886,3.123380772590095e-06
344,0.6482558139534884,0.025745862934145443,1.366799552332353e-05
345,0.6492753623188405,0.025691416612353316,3.1674537769308746e-06
346,0.6502890173410405,0.02563715304743572,5.3155354167431485e-06
347,0.6512968299711815,0.025583071967587565,5.1652772776789485e-06
348,0.6522988505747126,0.025529173086635958,4.848165681015692e-06
349,0.6532951289398281,0.025475456104541987,4.844693338973547e-06
350,0.6542857142857142,0.02542192070788779,5.033362358053362e-06
351,0.6552706552706553,0.025368566570349395,4.943411540870335e-06
352,0.65625,0.025315393353155705,5.276068813335084e-06
353,0.6543909348441926,0.025311847612713392,1.8898052855263183e-05
354,0.655367231638418,0.02525916644787161,5.518054597467061e-06
355,0.6563380281690141,0.025206662485481306,4.950844427420178e-06
356,0.6544943820224719,0.025203190336857823,1.7424052723167196e-05
